CompanyName,MarketCap,EmployeesTotalAmount
BOEING COMPANY,126.65,"141,014"
SANOFI,126.37,"95,442"
STARBUCKS CORPORATION,126.20,"383,000"
COMMONWEALTH BANK OF AUSTRALIA,125.77,"49,245"
AIA GROUP,125.62,"23,000"
DIAGEO,123.29,"28,025"
AMERICAN TOWER CORPORATION (REIT),121.40,"5,618"
CATERPILLAR,121.27,"107,700"
IBM,120.85,"375,300"
RIO TINTO GROUP,116.98,"49,000"
DEERE & COMPANY,116.40,"75,600"
INTUITIVE SURGICAL,115.85,"9,793"
HDFC BANK,114.33,"161,027"
PROLOGIS,113.66,"2,053"
SERVICENOW,112.71,"16,881"
GENERAL ELECTRIC COMPANY,111.35,"168,000"
TARGET CORPORATION,110.57,"409,000"
GLAXOSMITHKLINE,110.32,"99,000"
CHINA LIFE INSURANCE COMPANY,109.77,"104,160"
ANHEUSER-BUSCH INBEV,109.50,"164,000"
CHARTER COMMUNICATIONS,109.45,"93,700"
GAZPROM,108.15,"473,800"
S&P GLOBAL,107.67,"22,850"
SCHNEIDER ELECTRIC,107.12,"166,025"
INGRAM MICRO,NAN,"26,037"
VANGUARD GROUP,NAN,"18,800"
CONOCOPHILLIPS COMPANY,106.36,"10,100"
JD.COM,106.00,"314,906"
MICRON TECHNOLOGY,105.80,"43,000"
ANTHEM,105.58,"63,900"
AIRBNB,105.51,"6,132"
AIRBUS,105.09,"125,888"
KOCH INDUSTRIES,NAN,"122,000"
BYTEDANCE,NAN,"60,000"
SEA LIMITED,104.35,"33,800"
3M COMPANY,103.70,"95,000"
ALLIANZ SE,103.28,"150,269"
INFOSYS,102.72,"345,218"
MERCK KGAA O.N.,102.50,"58,408"
NIPPON TELEGRAPH AND TELEPHONE CORPORATION,101.57,"303,350"
NTT DOCOMO,101.26,"27,558"
KERING,101.13,"38,553"
AUTOMATIC DATA PROCESSING (ADP),100.64,"56,000"
BOOKING HOLDINGS,99.97,"19,400"
ZOETIS,99.87,"12,100"
STRYKER CORPORATION,99.43,"43,000"
LOCKHEED MARTIN CORPORATION,99.32,"114,000"
INDITEX (INDUSTRIA DE DISENO TEXTIL),98.66,"144,116"
FORD MOTOR COMPANY,97.67,"183,000"
BP P.L.C.,97.62,"60,000"
CSL,97.07,"25,000"
AL RAJHI BANKING AND INVESTMENT CORPORATION,94.93,"13,716"
ROBERT BOSCH,NAN,"400,000"
THE PNC FINANCIAL SERVICES GROUP,94.56,"59,426"
SAUDI BASIC INDUSTRIES CORPORATION (SABIC),94.40,"32,721"
LAM RESEARCH CORPORATION,94.24,"14,100"
MONDELEZ INTERNATIONAL,94.23,"79,000"
BYD COMPANY,92.26,"224,300"
DEUTSCHE TELEKOM AG,92.03,"226,291"
SNOWFLAKE,91.79,"2,495"
ALTRIA GROUP,91.43,"6,000"
AUDI AG,82.15,"90,640"
DELOITTE,NAN,"300,000"
BNP PARIBAS,90.46,"190,000"
U.S. BANCORP,90.45,"68,796"
GENERAL MOTORS COMPANY,90.41,"157,000"
CARGILL,NAN,"155,000"
RECRUIT HOLDINGS,90.24,"49,370"
BROOKFIELD ASSET MANAGEMENT,89.97,"152,000"
EQUINOR ASA,89.92,"21,245"
BRITISH AMERICAN TOBACCO,89.47,"55,000"
MERCEDEC BENZ GROUP AG,89.41,"288,481"
GILEAD SCIENCES,89.39,"14,400"
ESSILOR LUXOTTICA,89.05,"151,017"
THE TJX COMPANIES,88.73,"320,000"
ANALOG DEVICES,88.70,"24,700"
BANK OF NOVA SCOTIA,87.96,"89,488"
TOKYO ELECTRON LIMITED,87.40,"14,479"
CANADIAN NATIONAL RAILWAY COMPANY,87.20,"22,604"
TRUIST FINANCIAL CORPORATION,86.77,"52,641"
MODERNA,86.71,"1,800"
CHUBB,86.66,"31,000"
J P MORGAN CHASE & CO,494.00,"271,025"
MIDEA GROUP,85.14,"149,239"
SHERWIN-WILLIAMS COMPANY,84.75,"61,626"
PRICEWATERHOUSECOOPERS,NAN,"295,371"
COMPAGNIE FINANCIERE RICHEMONT SA,84.50,"34,760"
AIR LIQUIDE,84.26,"67,000"
CROWN CASTLE INTERNATIONAL CORPORATION,84.16,"5,000"
SBERBANK OF RUSSIA,83.76,"285,555"
CSX CORPORATION,83.20,"20,919"
BLACKSTONE GROUP,82.93,"3,795"
ALLERGAN,62.84,"17,400"
MARSH & MCLENNAN COMPANIES,82.71,"81,000"
PUBLIX,NAN,"232,000"
ENBRIDGE,82.22,"11,200"
SOFTBANK GROUP,81.22,"58,786"
SIEMENS HEALTHINEERS AG,81.18,"52,000"
CME GROUP,80.88,"4,370"
UBER TECHNOLOGIES,80.53,"29,300"
DUKE ENERGY CORPORATION,80.40,"27,605"
NATIONAL COMMERCIAL BANK,79.84,"13,334"
LIFE INSURANCE CORPORATION OF INDIA,NAN,"114,000"
ENEL,79.77,"66,438"
PSBC (POSTAL SAVINGS BANK OF CHINA),79.13,"194,527"
CHINA YANGTZE POWER,78.97,"4,077"
MITSUBISHI UFJ FINANCIAL GROUP,78.84,"132,700"
DEUTSCHE POST AG,78.47,"571,974"
RELIANCE JIO,NAN,NAN
HCA HEALTHCARE,78.44,"235,000"
ATLAS COPCO AB,78.38,"40,000"
CHINA PETROLEUM & CHEMICAL CORPORATION (SINOPEC),77.72,"384,065"
INVESTOR AB (PUBL),77.33,"20,054"
CIGNA CORPORATION,77.28,"73,800"
ILLINOIS TOOL WORKS,77.26,"45,000"
ATLASSIAN CORPORATION,76.76,"6,433"
EDWARDS LIFESCIENCES CORPORATION,76.36,"15,700"
HINDUSTAN UNILEVER,76.09,"21,000"
RIVIAN AUTOMOTIVE INC,76.22,"7,000"
ABB,76.04,"105,000"
ROSNEFT OIL COMPANY,75.45,"315,000"
ADYEN,75.41,"1,750"
INTERCONTINENTAL EXCHANGE,75.07,"8,858"
AXA,74.59,"96,595"
BANK OF MONTREAL,73.37,"43,863"
ICICI BANK,73.33,"130,170"
HONG KONG EXCHANGES AND CLEARING (HKEX),73.04,"2,372"
HANGZHOU HIKVISION DIGITAL TECHNOLOGY,72.96,"42,685"
SK HYNIX,72.83,"29,008"
THE SOUTHERN COMPANY,72.75,"27,300"
BECTON DICKINSON AND COMPANY,72.44,"75,000"
NORFOLK SOUTHERN CORPORATION,72.23,"18,100"
FOSHAN HAITIAN FLAVOURING AND FOOD COMPANY,72.14,"6,058"
IBERDROLA,72.10,"45,000"
FISERV,71.85,"44,000"
VALE SA,71.75,"74,316"
FIDELITY NATIONAL INFORMATION SERVICES,71.64,"65,000"
SHIN-ETSU CHEMICAL,71.31,"24,069"
DASSAULT SYSTEMES,71.22,"19,789"
COLGATE-PALMOLIVE COMPANY,71.17,"33,800"
GLENCORE,70.87,"134,878"
BAYERISCHE MOTOREN WERKE (BMW),70.51,"120,726"
CANADIAN PACIFIC RAILWAY,70.40,"11,834"
ERNST & YOUNG,NAN,"312,250"
MARVELL TECHNOLOGY GROUP,70.13,"5,633"
PINDUODUO,70.06,"7,986"
FEDEX CORPORATION,69.95,"289,000"
EQUINIX,69.78,"10,944"
NOVATEK,69.39,"16,821"
MOODY'S CORPORATION,69.23,"13,023"
"LUCID GROUP, INC.",69.12,"2,000"
NATIONAL AUSTRALIA BANK,69.04,"34,944"
BASF SE,68.99,"110,302"
A.P. MOLLER - MAERSK A/S,68.83,"80,000"
PETROLEO BRASILEIRO - PETROBRAS,68.81,"49,050"
ALDI,NAN,"25,000"
KDDI CORPORATION,68.13,"47,320"
LONGI GREEN ENERGY TECHNOLOGY,68.09,"32,873"
ZURICH INSURANCE GROUP AG,67.91,"52,930"
WASTE MANAGEMENT,67.67,"48,500"
NONGFU SPRING,66.97,NAN
EATON CORPORATION,66.91,"85,947"
NETEASE,66.90,"28,239"
DENSO CORPORATION,66.75,"168,391"
UBS GROUP AG,66.67,"71,551"
SNAP INC,66.58,"5,661"
INDUSTRIAL BANK,66.41,"60,500"
AMERICA MOVIL,66.20,"186,851"
PT BANK CENTRAL ASIA TBK,66.01,"26,123"
AIR PRODUCTS AND CHEMICALS,65.93,"20,875"
ECOLAB,65.87,"47,000"
CAPITAL ONE FINANCIAL CORPORATION,65.84,"50,800"
NIDEC CORPORATION,65.39,"117,356"
DAIKIN INDUSTRIES,65.36,"80,369"
BLOCK INC,65.29,"8,521"
DBS GROUP HOLDINGS,65.12,"29,000"
WHATSAPP,NAN,55
CHINA SHENHUA ENERGY COMPANY,64.99,"76,182"
DOMINION ENERGY,64.96,"17,100"
REGENERON PHARMACEUTICALS,64.93,"10,368"
STELLANTIS N.V,64.80,"189,512"
PROGRESSIVE CORPORATION,63.81,"49,000"
CHINA TOURISM GROUP DUTY FREE CORPORATION LIMITED,63.57,"10,780"
MEDIATEK,63.35,"17,377"
KLA CORPORATION,63.21,"11,550"
NORTHROP GRUMMAN CORPORATION,63.00,"88,000"
FERRARI,62.96,"4,556"
WAL-MART DE MEXICO,62.57,"239,000"
WORKDAY,62.56,"12,500"
SHENZHEN MINDRAY BIO-MEDICAL ELECTRONICS,62.48,"9,819"
PUBLIC STORAGE,62.41,"5,800"
HDFC,62.40,"3,226"
AON,62.31,"50,000"
RECKITT BENCKISER GROUP,62.30,"43,000"
BAJAJ FINANCE,61.95,"26,969"
FREEPORT-MCMORAN,61.50,"24,700"
BANCO SANTANDER,61.03,"191,189"
"COINBASE GLOBAL, INC",60.85,"3,730"
AB VOLVO,60.85,"95,850"
VINCI,60.65,"217,731"
PERNOD RICARD,60.06,"18,500"
BOSTON SCIENTIFIC CORPORATION,60.01,"41,000"
SAUDI TELECOM COMPANY (STC),59.86,"17,000"
ANGLO AMERICAN,59.39,"90,000"
INFINEON TECHNOLOGIES AG,59.35,"50,288"
PJSC LUKOIL,59.25,"101,000"
SOFTBANK CORP.,59.24,"47,313"
GENERAL DYNAMICS CORPORATION,59.22,"103,100"
SCENTRE GROUP,59.07,"2,700"
NXP SEMICONDUCTORS,58.86,"31,000"
STATE BANK OF INDIA,58.77,"245,642"
RELX,58.74,"33,500"
XIAOMI CORPORATION,58.45,"33,427"
MACQUARIE GROUP,116.67,"17,209"
ILLUMINA,57.89,"7,800"
AUTODESK,57.70,"11,500"
LONZA GROUP,57.62,"16,218"
ANZ BANKING GROUP,57.48,"37,506"
EOG RESOURCES,57.43,"2,800"
CHINA TELECOM CORPORATION,57.14,"281,192"
WESTPAC BANKING CORPORATION,57.03,"40,143"
EMERSON ELECTRIC COMPANY,57.00,"86,700"
METLIFE,56.58,"43,000"
VERTEX PHARMACEUTICALS,56.41,"3,900"
SHANXI XINGHUACUN FEN WINE FACTORY,56.40,"9,276"
ING GROUP,56.18,"57,000"
HITACHI,56.15,"380,714"
HAPAG-LLOYD,56.00,"14,100"
CANADIAN IMPERIAL BANK OF COMMERCE,55.94,"45,282"
JOHNSON CONTROLS INTERNATIONAL,55.83,"101,000"
"YIHAI KERRY ARAWANA HOLDINGS CO., LTD",55.66,NAN
CANADIAN NATURAL RESOURCES,55.65,"9,709"
VERBUND AG,55.64,"2,980"
SIKA AG,55.61,"24,848"
EXELON CORPORATION,55.41,"31,518"
OPEN JOINT STOCK COMPANY OMZ,55.25,NAN
DOLLAR GENERAL CORPORATION,55.21,"158,000"
FIRST ABU DHABI BANK,55.05,"5,451"
PACIFICORP,55.00,"5,300"
THOMSON REUTERS CORPORATION,54.85,"45,000"
ADIDAS,54.84,"62,285"
EAST MONEY INFORMATION,54.82,"4,553"
MERCADOLIBRE,54.77,"15,500"
NINTENDO,54.63,"6,574"
BAYER,54.46,"99,538"
SAFRAN,54.38,"76,800"
LUZHOU LAOJIAO,54.32,"3,228"
MARRIOTT INTERNATIONAL,54.28,"120,000"
WIPRO,54.26,"231,671"
INTESA SANPAOLO,53.95,"105,615"
GREAT WALL MOTOR COMPANY,53.66,"63,174"
FAST RETAILING,53.64,"57,727"
LONDON STOCK EXCHANGE GROUP,53.54,"24,158"
HON HAI PRECISION INDUSTRY,53.43,"601,276"
BAIDU,53.37,"41,000"
CHUGAI PHARMACEUTICAL,53.00,"7,664"
SIMON PROPERTY GROUP,53.00,"3,300"
KEURIG DR PEPPER,52.89,"27,500"
S.F. HOLDING,52.74,"121,925"
IKEA,NAN,"211,000"
DSV PANALPINA,52.51,"56,000"
PING AN BANK,52.30,"38,600"
NATIONAL GRID TRANSCO,52.12,"23,683"
PALO ALTO NETWORKS,51.85,"10,473"
TE CONNECTIVITY,51.74,"89,000"
ENI S.P.A.,51.73,"31,495"
LUXSHARE PRECISION INDUSTRY,51.65,"137,284"
BHARTI AIRTEL,51.52,"17,917"
THE BANK OF NEW YORK MELLON CORPORATION,51.47,"49,100"
FORTINET,51.45,"9,700"
BIONTECH SE,51.38,"1,941"
HOYA CORPORATION,51.22,"37,245"
QATAR NATIONAL BANK,51.15,"28,000"
ZOOM VIDEO COMMUNICATIONS,51.14,"6,269"
ENTERPRISE PRODUCTS PARTNERS,51.06,"7,130"
BANK OF COMMUNICATIONS,51.06,"87,828"
JIANGSU HENGRUI MEDICINE,51.00,"24,431"
LLOYDS BANKING GROUP,51.00,"61,576"
HONDA MOTOR,50.89,"211,374"
MURATA MANUFACTURING,50.87,"75,184"
SYNOPSYS,50.69,"16,361"
WANHUA CHEMICAL GROUP,50.60,"15,392"
VMWARE,50.55,"34,000"
ORIENTAL LAND,50.54,"8,034"
KOTAK MAHINDRA BANK,50.49,"71,000"
AMERICAN INTERNATIONAL GROUP (AIG),50.43,"36,600"
IHS MARKIT,50.25,"16,000"
WUXI APPTEC,50.14,"33,305"
ACTIVISION BLIZZARD,49.88,"9,800"
MONSTER BEVERAGE CORPORATION,49.77,"4,092"
FIRST GULF BANK,NAN,NAN
SOUTHERN COPPER CORPORATION,49.75,"13,777"
NORDEA BANK ABP,49.61,"28,051"
PRUDENTIAL,49.34,"18,687"
SUMITOMO MITSUI FINANCIAL GROUP,49.24,"86,800"
CNOOC LIMITED,49.17,"18,703"
SCHLUMBERGER,49.13,"92,000"
AMPHENOL CORPORATION,49.11,"90,000"
IQVIA HOLDINGS,49.08,"79,000"
ROBLOX CORP,48.84,"1,600"
CITIC SECURITIES COMPANY,48.79,"11,380"
ROPER TECHNOLOGIES,48.67,"18,400"
PIONEER NATURAL RESOURCES COMPANY,48.60,"1,932"
KIMBERLY-CLARK CORPORATION,48.40,"45,000"
EQT AB (PUBL),48.28,710
XILINX,48.22,"4,891"
MITSUBISHI CORPORATION,48.17,"82,997"
TC ENERGY CORPORATION,47.88,"7,283"
EDEKA GROUP,NAN,"402,000"
WESFARMERS,47.59,"122,000"
BARCLAYS PLC,47.54,"83,000"
BCE (Bell Canada Enterprises),47.39,"52,100"
NEWMONT CORPORATION,47.39,"14,400"
3I GROUP,47.30,282
MMC NORILSK NICKEL,47.23,"75,901"
HCL TECHNOLOGIES,46.93,"210,966"
ORSTED A/S,46.81,"6,429"
HUMANA,46.68,"95,500"
IDEXX LABORATORIES,46.66,"10,350"
NIO INC,46.60,"7,763"
SAMSUNG BIOLOGICS,46.57,"2,730"
WALGREENS BOOTS ALLIANCE,46.52,"277,000"
PAYCHEX,46.48,"15,000"
MUYUAN FOODS,46.40,"50,319"
CREDIT AGRICOLE,46.25,"73,037"
CONSTELLATION BRANDS,46.22,"9,300"
GIVAUDAN SA,46.07,"16,842"
CADENCE DESIGN SYSTEMS,46.01,"9,300"
O'REILLY AUTOMOTIVE,45.97,"83,636"
ASIAN PAINTS,45.95,"7,600"
LULULEMON ATHLETICA,45.93,"25,000"
SPACEX,NAN,"9,500"
STRIPE,NAN,"7,802"
COGNIZANT TECHNOLOGY SOLUTIONS,45.92,"330,600"
ITOCHU CORPORATION,45.88,"128,146"
APTIV,45.84,"151,000"
KRAFT HEINZ COMPANY,45.72,"36,000"
DIGITAL REALTY TRUST,45.71,"3,030"
DEXCOM,45.70,"7,000"
MSCI,45.51,"4,303"
"COUPANG, INC.",45.49,"50,000"
MICROCHIP TECHNOLOGY,45.46,"19,500"
STMICROELECTRONICS,45.43,"48,254"
DOORDASH,45.38,"8,600"
AMERICAN ELECTRIC POWER COMPANY,45.07,"16,688"
FORTESCUE METALS GROUP,45.03,"10,164"
CHIPOTLE MEXICAN GRILL,44.96,"97,660"
TRAFIGURA,NAN,"8,619"
TRANE TECHNOLOGIES PLC,44.96,"37,000"
LINKEDIN,NAN,"18,000"
CARRIER GLOBAL,44.92,"58,000"
DATADOG,44.87,"3,200"
CENTENE CORPORATION,44.55,"72,500"
JARDINE MATHESON HOLDINGS,44.51,"403,000"
DELL TECHNOLOGIES,44.30,"158,000"
LG CHEM,44.15,"12,561"
SEMPRA ENERGY,44.14,"4,537"
PT BANK RAKYAT INDONESIA (PERSERO) TBK,44.01,"61,531"
T. ROWE PRICE GROUP,43.91,"7,529"
AGILENT TECHNOLOGIES,43.84,"17,000"
BAXTER INTERNATIONAL,43.79,"60,000"
DOW Inc,43.71,"35,700"
MARATHON PETROLEUM CORPORATION,43.66,"17,700"
WUXI BIOLOGICS (CAYMAN),43.63,"5,544"
GLOBAL PAYMENTS,43.58,"25,000"
COSCO SHIPPING HOLDINGS,43.54,"26,852"
PRUDENTIAL FINANCIAL,43.39,"40,916"
JARDINE STRATEGIC HOLDINGS,37.91,"464,000"
CROWDSTRIKE HOLDINGS,43.34,"3,394"
HAIER SMART HOME,43.25,"99,299"
SMC CORPORATION,43.22,"21,456"
MUNCHENER RUCKVERSICHERUNGS-GESELLSCHAFT,43.18,"39,642"
NU HOLDINGS LTD.,43.14,NAN
ALIGN TECHNOLOGY,43.13,"22,540"
L3HARRIS TECHNOLOGIES,43.12,"47,000"
DUPONT DE NEMOURS,43.10,"28,000"
TAKEDA PHARMACEUTICAL COMPANY,43.09,"47,000"
SVB FINANCIAL GROUP,43.03,"6,567"
VODAFONE GROUP,43.01,"105,000"
SPOTIFY TECHNOLOGY,42.83,"6,617"
EXPERIAN,42.82,"17,800"
MOTOROLA SOLUTIONS,42.66,"18,700"
REPUBLIC SERVICES,42.42,"35,000"
HILTON WORLDWIDE HOLDINGS,42.37,"142,000"
ALIMENTATION COUCHE-TARD,42.17,"131,000"
NAVER CORPORATION,42.08,"4,076"
Z HOLDINGS CORPORATION,41.97,"12,874"
VONOVIA SE,41.88,"10,622"
HP INC,41.85,"51,000"
FIAT CHRYSLER AUTOMOBILES,36.50,"191,752"
PARKER-HANNIFIN CORPORATION,41.61,"54,640"
BANCO BILBAO VIZCAYA ARGENTARIA,41.59,"110,432"
AUTOZONE,41.57,"100,000"
EBAY,41.52,"10,800"
APOLLO GLOBAL MANAGEMENT,41.38,"2,153"
GENERAL MILLS,41.36,"35,000"
SYSCO CORPORATION,41.25,"58,000"
CINTAS CORPORATION,41.23,"40,000"
FANUC CORPORATION,41.13,"8,256"
AFLAC,41.12,"12,447"
COMPASS GROUP,41.11,"478,070"
AVENUE SUPERMARTS,41.07,"1,567"
TWILIO,41.05,"7,867"
CRH PLC,41.04,"79,200"
HYUNDAI MOTOR COMPANY,41.03,"71,504"
TOKIO MARINE HOLDINGS,40.96,"41,101"
THE TRAVELERS COMPANIES,40.90,"30,800"
DANONE,40.80,"101,911"
DAIICHI SANKYO COMPANY,40.77,"16,033"
AMBEV,40.76,"50,479"
BANK OF NINGBO,40.67,"17,337"
KKR & CO,40.66,"3,238"
HEXAGON AB (PUBL),40.65,"20,532"
PARTNERS GROUP HOLDING AG,40.54,"1,519"
REALTY INCOME CORPORATION,40.40,371
THE HERSHEY COMPANY,40.35,"18,990"
INNER MONGOLIA YILI INDUSTRIAL GROUP,40.25,"59,052"
XPENG MOTORS,40.18,"3,676"
SHANGHAI PUDONG DEVELOPMENT BANK,40.06,"58,200"
PPG INDUSTRIES,39.82,"27,500"
ARISTA NETWORKS,39.79,"2,993"
ALCON,39.77,"23,655"
YUM! BRANDS,39.68,"36,000"
NUTRIEN,39.46,"23,100"
CHINA VANKE,39.43,"140,565"
OVERSEA-CHINESE BANKING CORPORATION,39.37,"30,538"
MANULIFE FINANCIAL CORPORATION,39.26,"37,000"
KINDER MORGAN,39.16,"10,529"
NESTE OYJ,39.11,"4,825"
SEVEN & I HOLDINGS,39.10,"138,808"
MITSUI & CO.,39.07,"44,509"
ARCHER-DANIELS-MIDLAND COMPANY,39.06,"41,000"
ALEXION PHARMACEUTICALS,39.00,"3,837"
ITAU UNIBANCO HOLDING,38.92,"96,500"
JIANGSU YANGHE BREWERY JOINT-STOCK,38.89,"15,026"
CAPGEMINI SE,38.88,"289,501"
SUNCOR ENERGY,38.70,"12,591"
SARTORIUS STEDIM BIOTECH,38.53,"9,016"
CHINA PACIFIC INSURANCE GROUP (CPIC),38.51,"111,247"
COMPAGNIE DE SAINT-GOBAIN,38.48,"167,552"
KUEHNE + NAGEL INTERNATIONAL AG,38.47,"78,249"
FERGUSON,38.47,"34,352"
OLD DOMINION FREIGHT LINE,38.25,"23,663"
WELLTOWER,38.23,464
MCKESSON CORPORATION,38.13,"76,000"
WILL SEMICONDUCTOR,38.11,"33,300"
ROCKWELL AUTOMATION,38.04,"24,500"
KBC GROUP NV,38.02,"33,916"
THE TRADE DESK,37.94,"1,967"
"BEIJING-SHANGHAI HIGH-SPEED RAILWAY CO.,LTD.",37.94,37
BAJAJ FINSERV,37.86,"26,969"
SBA COMMUNICATIONS CORPORATION,37.85,"1,596"
SAIC MOTOR CORPORATION,37.82,"204,815"
BOC HONG KONG,37.82,"14,915"
NATWEST GROUP,37.79,"59,900"
KUAISHOU TECHNOLOCY,37.73,NAN
ERICSSON,37.53,"101,322"
ANTA SPORTS PRODUCTS,37.36,"41,000"
ZHANGZHOU PIENTZEHUANG PHARMACEUTICAL. LTD,37.28,NAN
ELECTRONIC ARTS,37.27,"11,000"
XCEL ENERGY,37.22,"11,321"
GREE ELECTRIC APPLIANCES,37.20,"88,846"
DSM,37.19,"23,127"
STATE STREET CORPORATION,37.17,"39,000"
BLOOMBERG LP,NAN,"24,315"
HANG SENG BANK,37.16,"10,000"
ROSS STORES,37.10,"93,700"
INNOGY SE,27.56,"34,523"
EDF (ELECTRICITE DE FRANCE),37.06,"20,477"
DISCOVER FINANCIAL SERVICES,36.84,"196,159"
FOXCONN INDUSTRIAL INTERNET,36.83,"803,126"
KONE OYJ,36.77,"61,380"
ASHTEAD GROUP,36.70,"19,386"
ZIJIN MINING GROUP COMPANY,36.68,"36,860"
DNB ASA,36.68,"9,200"
ZSCALER,36.64,"3,153"
FIRST REPUBLIC BANK,36.59,"6,295"
JAPAN POST BANK,36.47,"245,472"
